id,date,state_name,state_code,airport,freight
0,01-01-2022,West Bengal,19,Kolkata,3088
1,01-01-2022,Tamil Nadu,33,Chennai,20054
2,01-01-2022,Goa,30,Goa,93
3,01-01-2022,Jammu and Kashmir,1,Srinagar,0
4,01-01-2022,Odisha,21,Bhubaneswar,0
5,01-01-2022,Uttar Pradesh,9,Varanasi,56
6,01-01-2022,Kerala,32,Calicut,779
7,01-01-2022,Punjab,3,Amritsar,62
8,01-01-2022,Tamil Nadu,33,Coimbatore,107
9,01-01-2022,Andhra Pradesh,28,Vijayawada,0
10,01-01-2022,Manipur,14,Imphal,0
11,01-01-2022,Andaman and Nicobar Islands,35,Portblair,0
12,01-01-2022,Tamil Nadu,33,Trichy,500
13,01-01-2022,Andhra Pradesh,28,Tirupati,0
14,01-01-2022,Uttar Pradesh,9,Kushinagar,0
15,01-01-2022,Gujarat,24,Ahmedabad,4061
16,01-01-2022,Uttar Pradesh,9,Lucknow,232
17,01-01-2022,Karnataka,29,Manglore,108
18,01-01-2022,Assam,18,Guwahati,0
19,01-01-2022,Rajasthan,8,Jaipur,14
20,01-01-2022,Kerala,32,Trivandrum,874
21,01-01-2022,Delhi,7,Delhi,48129
22,01-01-2022,Maharashtra,27,Mumbai,41803
23,01-01-2022,Karnataka,29,Bangalore,21710
24,01-01-2022,Telangana,36,Hyderabad,5711
25,01-01-2022,Kerala,32,Cochin,3386
26,01-01-2022,Maharashtra,27,Nagpur,4
27,01-01-2022,Kerala,32,Kannur,265
28,01-01-2022,Bihar,10,Patna,0
29,01-01-2022,Maharashtra,27,Pune,0
30,01-01-2022,West Bengal,19,Bagdora,0
31,01-01-2022,Chandigarh,4,Chandigarh,0
32,01-01-2022,Andhra Pradesh,28,Visakhapatnam,2
33,01-01-2022,Madhya Pradesh,23,Indore,10
34,01-01-2022,Tamil Nadu,33,Madurai,28
35,01-01-2022,Gujarat,24,Surat,0
36,01-01-2022,Maharashtra,27,Aurangabad,0
37,01-01-2022,Bihar,10,Gaya,0
38,01-02-2022,West Bengal,19,Kolkata,2870
